2663, 2019-11-01 10:21:44.898000
2668, 2019-11-01 10:22:05.066000
2681, 2019-11-01 10:22:25.239000
2698, 2019-11-01 10:22:45.413000
2702, 2019-11-01 10:23:05.586000
2703, 2019-11-01 10:23:25.760000
2707, 2019-11-01 10:23:45.934000
2712, 2019-11-01 10:24:06.110000
2712, 2019-11-01 10:24:26.282000
2715, 2019-11-01 10:24:46.455000
2707, 2019-11-01 10:25:06.629000
2708, 2019-11-01 10:25:26.802000
2707, 2019-11-01 10:25:46.977000
2709, 2019-11-01 10:26:07.153000
2716, 2019-11-01 10:26:27.324000
2726, 2019-11-01 10:26:47.497000
2727, 2019-11-01 10:27:07.671000
2721, 2019-11-01 10:27:27.846000
2718, 2019-11-01 10:27:48.019000
2733, 2019-11-01 10:28:08.192000
2735, 2019-11-01 10:28:28.366000
2734, 2019-11-01 10:28:48.539000
2737, 2019-11-01 10:29:08.714000
2733, 2019-11-01 10:29:28.890000
2735, 2019-11-01 10:29:49.061000
2764, 2019-11-01 10:30:09.234000
2755, 2019-11-01 10:30:29.408000
2751, 2019-11-01 10:30:49.582000
2751, 2019-11-01 10:31:09.756000
2723, 2019-11-01 10:31:29.929000
2726, 2019-11-01 10:31:50.103000
2707, 2019-11-01 10:32:10.276000
2731, 2019-11-01 10:32:30.444000
2716, 2019-11-01 10:32:50.613000
2725, 2019-11-01 10:33:10.784000
2759, 2019-11-01 10:33:30.952000
2728, 2019-11-01 10:33:51.120000
2727, 2019-11-01 10:34:11.288000
2723, 2019-11-01 10:34:31.458000
2751, 2019-11-01 10:34:51.630000
2711, 2019-11-01 10:35:11.803000
2689, 2019-11-01 10:35:31.977000
2691, 2019-11-01 10:35:52.147000
2695, 2019-11-01 10:36:12.315000
2691, 2019-11-01 10:36:32.483000
2678, 2019-11-01 10:36:52.651000
2691, 2019-11-01 10:37:12.819000
2680, 2019-11-01 10:37:32.987000
2680, 2019-11-01 10:37:53.156000
2610, 2019-11-01 10:38:13.329000
2687, 2019-11-01 10:38:33.503000
2722, 2019-11-01 10:38:53.677000
2695, 2019-11-01 10:39:13.851000
2694, 2019-11-01 10:39:34.024000
2691, 2019-11-01 10:39:54.198000
2687, 2019-11-01 10:40:14.372000
2686, 2019-11-01 10:40:34.546000
2682, 2019-11-01 10:40:54.720000
2679, 2019-11-01 10:41:14.893000
2683, 2019-11-01 10:41:35.069000
2690, 2019-11-01 10:41:55.244000
2695, 2019-11-01 10:42:15.414000
2694, 2019-11-01 10:42:35.588000
2697, 2019-11-01 10:42:55.763000
2699, 2019-11-01 10:43:15.935000
2700, 2019-11-01 10:43:36.109000
2680, 2019-11-01 10:43:56.286000
2682, 2019-11-01 10:44:16.456000
2712, 2019-11-01 10:44:36.630000
2739, 2019-11-01 10:44:56.804000
2727, 2019-11-01 10:45:16.973000
2722, 2019-11-01 10:45:37.141000
2723, 2019-11-01 10:45:57.309000
2703, 2019-11-01 10:46:17.477000
2714, 2019-11-01 10:46:37.646000
2705, 2019-11-01 10:46:57.815000
2665, 2019-11-01 10:47:17.984000
2692, 2019-11-01 10:47:38.157000
2690, 2019-11-01 10:47:58.330000
2685, 2019-11-01 10:48:18.504000
2690, 2019-11-01 10:48:38.677000
2697, 2019-11-01 10:48:58.853000
2692, 2019-11-01 10:49:19.025000
2708, 2019-11-01 10:49:39.198000
2681, 2019-11-01 10:49:59.372000
2700, 2019-11-01 10:50:19.546000
2695, 2019-11-01 10:50:39.720000
2700, 2019-11-01 10:50:59.893000
2715, 2019-11-01 10:51:20.061000
2728, 2019-11-01 10:51:40.229000
2728, 2019-11-01 10:52:00.397000
2722, 2019-11-01 10:52:20.565000
2718, 2019-11-01 10:52:40.733000
2719, 2019-11-01 10:53:00.902000
2689, 2019-11-01 10:53:21.072000
2691, 2019-11-01 10:53:41.246000
2715, 2019-11-01 10:54:01.419000
2721, 2019-11-01 10:54:21.594000
2717, 2019-11-01 10:54:41.767000
2738, 2019-11-01 10:55:01.940000
2726, 2019-11-01 10:55:22.114000
2727, 2019-11-01 10:55:42.290000
2741, 2019-11-01 10:56:02.461000
2698, 2019-11-01 10:56:22.635000
2703, 2019-11-01 10:56:42.811000
2726, 2019-11-01 10:57:02.985000
2736, 2019-11-01 10:57:23.156000
2743, 2019-11-01 10:57:43.330000
2743, 2019-11-01 10:58:03.498000
2742, 2019-11-01 10:58:23.667000
2747, 2019-11-01 10:58:43.835000
