second,Volt1
-2.48832637E-03,+3.29153758063E+00
-2.48824957E-03,+3.29822756991E+00
-2.48817277E-03,+3.29320927567E+00
-2.48809597E-03,+3.29488225607E+00
-2.48801917E-03,+3.29488091930E+00
-2.48794237E-03,+3.29153699365E+00
-2.48786557E-03,+3.29655454238E+00
-2.48778877E-03,+3.29320861585E+00
-2.48771197E-03,+3.29320793033E+00
-2.48763517E-03,+3.29153635526E+00
-2.48755837E-03,+3.29488225607E+00
-2.48748157E-03,+3.29488085932E+00
-2.48740477E-03,+3.29153427297E+00
-2.48732797E-03,+3.28986416321E+00
-2.48725117E-03,+3.29655447383E+00
-2.48717437E-03,+3.29321004689E+00
-2.48709757E-03,+3.29655517649E+00
-2.48702077E-03,+3.29488080790E+00
-2.48694397E-03,+3.29153351890E+00
-2.48686717E-03,+3.28818916051E+00
-2.48679037E-03,+3.29153571258E+00
-2.48671357E-03,+3.29320713341E+00
-2.48663677E-03,+3.28986208093E+00
-2.48655997E-03,+3.29153497564E+00
-2.48648317E-03,+3.29153799195E+00
-2.48640637E-03,+3.29822574470E+00
-2.48632957E-03,+3.28986362336E+00
-2.48625276E-03,+3.29488072221E+00
-2.48617596E-03,+3.29153497564E+00
-2.48609916E-03,+3.29153730214E+00
-2.48602236E-03,+3.29655199737E+00
-2.48594556E-03,+3.28819004741E+00
-2.48586876E-03,+3.29320782750E+00
-2.48579196E-03,+3.29153339036E+00
-2.48571516E-03,+3.28818928905E+00
-2.48563836E-03,+3.29153337322E+00
-2.48556156E-03,+3.28818850069E+00
-2.48548476E-03,+3.28986214520E+00
-2.48540796E-03,+3.29153253345E+00
-2.48533116E-03,+3.28651487333E+00
-2.48525436E-03,+3.28818934046E+00
-2.48517756E-03,+3.29153249489E+00
-2.48510076E-03,+3.28651654858E+00
-2.48502396E-03,+3.29153497564E+00
-2.48494716E-03,+3.29153665517E+00
-2.48487036E-03,+3.29487972391E+00
-2.48479356E-03,+3.28986218376E+00
-2.48471676E-03,+3.29153668088E+00
-2.48463996E-03,+3.29488225607E+00
-2.48456316E-03,+3.29487967250E+00
-2.48448636E-03,+3.28986306637E+00
-2.48440956E-03,+3.29320600658E+00
-2.48433276E-03,+3.28818856925E+00
-2.48425596E-03,+3.28986045709E+00
-2.48417916E-03,+3.28818857781E+00
-2.48410236E-03,+3.28986310921E+00
-2.48402556E-03,+3.29320415994E+00
-2.48394876E-03,+3.28484220570E+00
-2.48387196E-03,+3.28818679545E+00
-2.48379516E-03,+3.28651495902E+00
-2.48371836E-03,+3.28818951184E+00
-2.48364156E-03,+3.29153497564E+00
-2.48356476E-03,+3.29153589253E+00
-2.48348796E-03,+3.29320677351E+00
-2.48341116E-03,+3.28985855904E+00
-2.48333436E-03,+3.28484320400E+00
-2.48325756E-03,+3.28986226945E+00
-2.48318076E-03,+3.29153122239E+00
-2.48310396E-03,+3.28484418515E+00
-2.48302716E-03,+3.29153497564E+00
-2.48295036E-03,+3.29153687797E+00
-2.48287356E-03,+3.29488130062E+00
-2.48279676E-03,+3.29320669638E+00
-2.48271996E-03,+3.28986422748E+00
-2.48264316E-03,+3.29487741455E+00
-2.48256636E-03,+3.28651502757E+00
-2.48248956E-03,+3.28818769520E+00
-2.48241275E-03,+3.28818867636E+00
-2.48233595E-03,+3.28986527719E+00
-2.48225915E-03,+3.29655589629E+00
-2.48218235E-03,+3.29655589629E+00
-2.48210555E-03,+3.29654990652E+00
-2.48202875E-03,+3.28651606014E+00
-2.48195195E-03,+3.28986133542E+00
-2.48187515E-03,+3.28986234657E+00
-2.48179835E-03,+3.29153294477E+00
-2.48172155E-03,+3.28818667548E+00
-2.48164475E-03,+3.28651610299E+00
-2.48156795E-03,+3.28986133542E+00
-2.48149115E-03,+3.28985927028E+00
-2.48141435E-03,+3.28651509184E+00
-2.48133755E-03,+3.28819081862E+00
-2.48126075E-03,+3.29320652500E+00
-2.48118395E-03,+3.28985818629E+00
-2.48110715E-03,+3.28484252276E+00
-2.48103035E-03,+3.28818981176E+00
-2.48095355E-03,+3.29153391307E+00
-2.48087675E-03,+3.28986133542E+00
-2.48079995E-03,+3.28986454882E+00
-2.48072315E-03,+3.29487902982E+00
-2.48064635E-03,+3.28986133542E+00
-2.48056955E-03,+3.28985916745E+00
-2.48049275E-03,+3.28651840807E+00
-2.48041595E-03,+3.29320643074E+00
-2.48033915E-03,+3.28985914174E+00
-2.48026235E-03,+3.28651625723E+00
-2.48018555E-03,+3.28986133542E+00
-2.48010875E-03,+3.28985800634E+00
-2.48003195E-03,+3.28485601046E+00
-2.47995515E-03,+3.30825795866E+00
-2.47987835E-03,+3.28818545011E+00
-2.47980155E-03,+3.28484041477E+00
-2.47972475E-03,+3.28484720146E+00
-2.47964795E-03,+3.29487884987E+00
-2.47957115E-03,+3.28985905605E+00
-2.47949435E-03,+3.28651634292E+00
-2.47941755E-03,+3.28986018716E+00
-2.47934075E-03,+3.28818884774E+00
-2.47926395E-03,+3.28986133542E+00
-2.47918715E-03,+3.28986017431E+00
-2.47911035E-03,+3.28818536442E+00
-2.47903355E-03,+3.28484509347E+00
-2.47895675E-03,+3.29153262771E+00
-2.47887995E-03,+3.28819240818E+00
-2.47880315E-03,+3.29487634342E+00
-2.47872635E-03,+3.28651405498E+00
-2.47864955E-03,+3.28651524608E+00
-2.47857275E-03,+3.28819008597E+00
-2.47849594E-03,+3.29153257630E+00
-2.47841914E-03,+3.28818167544E+00
-2.47834234E-03,+3.27982674354E+00
-2.47826554E-03,+3.28986012290E+00
-2.47818874E-03,+3.28819256243E+00
-2.47811194E-03,+3.29487615062E+00
-2.47803514E-03,+3.28651405498E+00
-2.47795834E-03,+3.28651774396E+00
-2.47788154E-03,+3.29153620958E+00
-2.47780474E-03,+3.29320366294E+00
-2.47772794E-03,+3.28651778253E+00
-2.47765114E-03,+3.29152874165E+00
-2.47757434E-03,+3.28316927671E+00
-2.47749754E-03,+3.28651656572E+00
-2.47742074E-03,+3.28986259507E+00
-2.47734394E-03,+3.29153244776E+00
-2.47726714E-03,+3.28818896342E+00
-2.47719034E-03,+3.28986133542E+00
-2.47711354E-03,+3.28985367468E+00
-2.47703674E-03,+3.27982846164E+00
-2.47695994E-03,+3.29153497564E+00
-2.47688314E-03,+3.29153626528E+00
-2.47680634E-03,+3.29320344014E+00
-2.47672954E-03,+3.28651405498E+00
-2.47665274E-03,+3.28651275249E+00
-2.47657594E-03,+3.28484172155E+00
-2.47649914E-03,+3.28651405498E+00
-2.47642234E-03,+3.28652326244E+00
-2.47634554E-03,+3.29822161870E+00
-2.47626874E-03,+3.28818901912E+00
-2.47619194E-03,+3.28986133542E+00
-2.47611514E-03,+3.28986533289E+00
-2.47603834E-03,+3.29487824575E+00
-2.47596154E-03,+3.28985597119E+00
-2.47588474E-03,+3.28317215592E+00
-2.47580794E-03,+3.28985728654E+00
-2.47573114E-03,+3.28483906085E+00
-2.47565434E-03,+3.28317220733E+00
-2.47557754E-03,+3.28985997294E+00
-2.47550074E-03,+3.28818496167E+00
-2.47542394E-03,+3.28484315687E+00
-2.47534714E-03,+3.28819182120E+00
-2.47527034E-03,+3.29320999547E+00
-2.47519354E-03,+3.29487533656E+00
-2.47511674E-03,+3.28651544317E+00
-2.47503994E-03,+3.28818630273E+00
-2.47496314E-03,+3.28651405498E+00
-2.47488634E-03,+3.28651265394E+00
-2.47480954E-03,+3.28484041477E+00
-2.47473274E-03,+3.28484464360E+00
-2.47465594E-03,+3.28985709373E+00
-2.47457913E-03,+3.28483899659E+00
-2.47450233E-03,+3.28316961948E+00
-2.47442553E-03,+3.28651262824E+00
-2.47434873E-03,+3.28484613890E+00
-2.47427193E-03,+3.29153354032E+00
-2.47419513E-03,+3.28985845621E+00
-2.47411833E-03,+3.28650827944E+00
-2.47404153E-03,+3.27982383863E+00
-2.47396473E-03,+3.28484186722E+00
-2.47388793E-03,+3.28651405498E+00
-2.47381113E-03,+3.28651697703E+00
-2.47373433E-03,+3.28985840480E+00
-2.47365753E-03,+3.28651405498E+00
-2.47358073E-03,+3.28651552886E+00
-2.47350393E-03,+3.28818769520E+00
-2.47342713E-03,+3.28818621275E+00
-2.47335033E-03,+3.28651256825E+00
-2.47327353E-03,+3.28484339680E+00
-2.47319673E-03,+3.28818619990E+00
-2.47311993E-03,+3.28651255540E+00
-2.47304313E-03,+3.28483891090E+00
-2.47296633E-03,+3.28316526639E+00
-2.47288953E-03,+3.28149313433E+00
-2.47281273E-03,+3.28149616778E+00
-2.47273593E-03,+3.28483737275E+00
-2.47265913E-03,+3.28149618492E+00
-2.47258233E-03,+3.28484500350E+00
-2.47250553E-03,+3.28986440314E+00
-2.47242873E-03,+3.29319631068E+00
-2.47235193E-03,+3.27982257898E+00
-2.47227513E-03,+3.28316832126E+00
-2.47219833E-03,+3.28484041477E+00
-2.47212153E-03,+3.28484041477E+00
-2.47204473E-03,+3.28484509347E+00
-2.47196793E-03,+3.28985508000E+00
-2.47189113E-03,+3.28317147896E+00
-2.47181433E-03,+3.28818769520E+00
-2.47173753E-03,+3.28818611849E+00
-2.47166073E-03,+3.28651247399E+00
-2.47158393E-03,+3.28484517059E+00
-2.47150713E-03,+3.28985656674E+00
-2.47143033E-03,+3.28483882092E+00
-2.47135353E-03,+3.28316677455E+00
-2.47127673E-03,+3.28316677455E+00
-2.47119993E-03,+3.28317159465E+00
-2.47112313E-03,+3.28818769520E+00
-2.47104633E-03,+3.28818931047E+00
-2.47096953E-03,+3.28985485721E+00
-2.47089273E-03,+3.28316839839E+00
-2.47081593E-03,+3.28484529913E+00
-2.47073913E-03,+3.28986133542E+00
-2.47066232E-03,+3.28985315197E+00
-2.47058552E-03,+3.28150298018E+00
-2.47050872E-03,+3.29152839460E+00
-2.47043192E-03,+3.28484536340E+00
-2.47035512E-03,+3.28985802776E+00
-2.47027832E-03,+3.28651073876E+00
-2.47020152E-03,+3.28316843695E+00
-2.47012472E-03,+3.28484041477E+00
-2.47004792E-03,+3.28484208573E+00
-2.46997112E-03,+3.28651237973E+00
-2.46989432E-03,+3.28483537616E+00
-2.46981752E-03,+3.27982791322E+00
-2.46974072E-03,+3.28818431899E+00
-2.46966392E-03,+3.28484041477E+00
-2.46958712E-03,+3.28483871809E+00
-2.46951032E-03,+3.28316677455E+00
-2.46943352E-03,+3.28316677455E+00
-2.46935672E-03,+3.28316506502E+00
-2.46927992E-03,+3.28149656196E+00
-2.46920312E-03,+3.28483869667E+00
-2.46912632E-03,+3.28316849693E+00
-2.46904952E-03,+3.28483696143E+00
-2.46897272E-03,+3.28149659623E+00
-2.46889592E-03,+3.28483694430E+00
-2.46881912E-03,+3.28149487385E+00
-2.46874232E-03,+3.28317200596E+00
-2.46866552E-03,+3.28818419902E+00
-2.46858872E-03,+3.28483866239E+00
-2.46851192E-03,+3.28317380118E+00
-2.46843512E-03,+3.28985076977E+00
-2.46835832E-03,+3.27982302457E+00
-2.46828152E-03,+3.28316854406E+00
-2.46820472E-03,+3.28484218856E+00
-2.46812792E-03,+3.28651227690E+00
-2.46805112E-03,+3.28484041477E+00
-2.46797432E-03,+3.28483505482E+00
-2.46789752E-03,+3.27982844878E+00
-2.46782072E-03,+3.28818230955E+00
-2.46774392E-03,+3.28316857405E+00
-2.46766712E-03,+3.28484762992E+00
-2.46759032E-03,+3.29152774335E+00
-2.46751352E-03,+3.28484585184E+00
-2.46743672E-03,+3.28985588550E+00
-2.46735992E-03,+3.28484223569E+00
-2.46728312E-03,+3.28651040456E+00
-2.46720632E-03,+3.28317043354E+00
-2.46712952E-03,+3.28650855365E+00
-2.46705272E-03,+3.28149681046E+00
-2.46697592E-03,+3.28484225711E+00
-2.46689912E-03,+3.28651405498E+00
-2.46682232E-03,+3.28650850223E+00
-2.46674551E-03,+3.28149684473E+00
-2.46666871E-03,+3.28484227425E+00
-2.46659191E-03,+3.28650846367E+00
-2.46651511E-03,+3.28149313433E+00
-2.46643831E-03,+3.28149313433E+00
-2.46636151E-03,+3.28150251745E+00
-2.46628471E-03,+3.28985569269E+00
-2.46620791E-03,+3.28484229996E+00
-2.46613111E-03,+3.28651216551E+00
-2.46605431E-03,+3.28483473348E+00
-2.46597751E-03,+3.27982708630E+00
-2.46590071E-03,+3.28650264100E+00
-2.46582391E-03,+3.27647793353E+00
-2.46574711E-03,+3.28149313433E+00
-2.46567031E-03,+3.28149504952E+00
-2.46559351E-03,+3.28316677455E+00
-2.46551671E-03,+3.28317062206E+00
-2.46543991E-03,+3.28651019891E+00
-2.46536311E-03,+3.28317257152E+00
-2.46528631E-03,+3.28817994877E+00
-2.46520951E-03,+3.28149701612E+00
-2.46513271E-03,+3.28484041477E+00
-2.46505591E-03,+3.28483651584E+00
-2.46497911E-03,+3.28149118059E+00
-2.46490231E-03,+3.27983124230E+00
-2.46482551E-03,+3.28985741079E+00
-2.46474871E-03,+3.28650815519E+00
-2.46467191E-03,+3.28148525080E+00
-2.46459511E-03,+3.27481239964E+00
-2.46451831E-03,+3.28651405498E+00
-2.46444151E-03,+3.28651008751E+00
-2.46436471E-03,+3.28317075059E+00
-2.46428791E-03,+3.28650807806E+00
-2.46421111E-03,+3.28149513092E+00
-2.46413431E-03,+3.28316877542E+00
-2.46405751E-03,+3.28483439929E+00
-2.46398071E-03,+3.27982552245E+00
-2.46390391E-03,+3.28483437358E+00
-2.46382711E-03,+3.27982353014E+00
-2.46375031E-03,+3.28316879685E+00
-2.46367351E-03,+3.28483028185E+00
-2.46359671E-03,+3.27648033715E+00
-2.46351991E-03,+3.28316473940E+00
-2.46344311E-03,+3.28149313433E+00
-2.46336631E-03,+3.28150130921E+00
-2.46328951E-03,+3.28817950318E+00
-2.46321271E-03,+3.28149518662E+00
-2.46313591E-03,+3.28316883112E+00
-2.46305911E-03,+3.28483835391E+00
-2.46298231E-03,+3.28316470940E+00
-2.46290551E-03,+3.28149106490E+00
-2.46282870E-03,+3.27982778896E+00
-2.46275190E-03,+3.28650574299E+00
-2.46267510E-03,+3.27982157640E+00
-2.46259830E-03,+3.28149939403E+00
-2.46252150E-03,+3.28650569158E+00
-2.46244470E-03,+3.27982368438E+00
-2.46236790E-03,+3.28316257571E+00
-2.46229110E-03,+3.27982370152E+00
-2.46221430E-03,+3.28316677455E+00
-2.46213750E-03,+3.28315832545E+00
