s,v,i
2782,3.29993,1.67379e-05
2783,3.29993,2.90642e-05
2784,3.30003,3.1789e-05
2785,3.30003,3.68494e-05
2786,3.29996,2.64692e-05
2787,3.29995,2.45229e-05
2788,3.29992,2.82857e-05
2789,3.29986,1.46618e-05
2790,3.29993,2.19279e-05
2791,3.29999,3.2308e-05
2792,3.29983,2.40039e-05
2793,3.29988,1.42726e-05
2794,3.30003,3.54221e-05
2795,3.29989,2.59502e-05
2796,3.29988,1.38833e-05
2797,3.30009,4.02229e-05
2798,3.30007,4.70997e-05
2799,3.29991,2.8675e-05
2800,3.29993,2.82857e-05
2801,3.30002,3.42543e-05
2802,3.29998,2.06304e-05
2803,3.29994,2.72467e-06
2804,3.29993,3.67196e-05
2805,3.29987,1.73866e-05
2806,3.29996,2.47824e-05
2807,3.29994,4.83972e-05
2808,3.29998,1.18073e-05
2809,3.29994,2.07602e-05
2810,3.29995,1.66081e-05
2811,3.29989,1.31048e-05
2812,3.3,2.12792e-05
2813,3.29991,1.53106e-05
2814,3.29985,1.24561e-05
2815,3.29999,3.99634e-05
2816,3.29996,2.25767e-05
2817,3.29997,1.94626e-05
2818,3.29995,1.40131e-05
2819,3.29989,1.72569e-05
2820,3.30001,2.20577e-05
2821,3.29997,2.27064e-05
2822,3.29988,2.21874e-05
2823,3.29994,2.90642e-05
2824,3.30002,2.06304e-05
2825,3.29993,2.38742e-05
2826,3.29997,3.03618e-05
2827,3.29997,3.06213e-05
2828,3.29996,2.64692e-05
2829,3.29992,1.07693e-05
2830,3.29992,1.50511e-05
2831,3.29991,1.93329e-05
2832,3.29993,3.77576e-05
2833,3.2999,2.99725e-05
2834,3.29994,3.3346e-05
2835,3.30007,1.90734e-05
2836,3.29988,2.08899e-05
2837,3.30004,1.69974e-05
2838,3.29997,2.06304e-05
2839,3.2999,3.81469e-05
2840,3.30006,2.05006e-05
2841,3.30002,2.8675e-05
2842,3.29993,2.37444e-05
2843,3.30005,1.72568e-05
2844,3.3,2.25767e-05
2845,3.30002,3.127e-05
2846,3.29987,2.33552e-05
2847,3.30002,8.82302e-06
2848,3.30005,3.36055e-05
2849,3.29985,3.76279e-05
2850,3.29985,3.127e-05
2851,3.29995,3.04915e-05
2852,3.29999,2.59502e-05
2853,3.30005,7.13623e-06
2854,3.29999,3.29568e-05
2855,3.29988,1.18073e-05
2856,3.30007,2.77667e-05
2857,3.29992,2.58204e-05
2858,3.29982,2.93237e-05
2859,3.29996,3.2308e-05
2860,3.29994,1.18073e-05
2861,3.29998,1.76461e-05
2862,3.2999,1.51809e-05
2863,3.29983,4.17799e-05
2864,3.29994,1.59593e-05
2865,3.30001,3.81469e-05
2866,3.30003,2.62097e-05
2867,3.3,3.82766e-05
2868,3.30005,1.10288e-05
2869,3.3,1.53106e-05
2870,3.29984,2.01114e-05
2871,3.29993,2.43932e-05
2872,3.29987,2.69882e-05
2873,3.29986,2.01114e-05
2874,3.29987,3.60708e-05
2875,3.29994,1.08991e-05
2876,3.29997,3.26973e-05
2877,3.29989,3.59411e-05
2878,3.29994,9.60153e-06
2879,3.29995,4.32072e-05
2880,3.29998,2.21874e-05
2881,3.29994,1.49213e-05
2882,3.29991,1.25858e-05
2883,3.29985,1.92031e-05
2884,3.29996,3.76278e-05
2885,3.29996,1.45321e-05
2886,3.29991,2.37444e-05
2887,3.29989,2.77667e-05
2888,3.30003,2.5042e-05
2889,3.29992,2.67287e-05
2890,3.29995,2.84155e-05
2891,3.29987,3.94444e-05
2892,3.29993,1.64783e-05
2893,3.2999,2.25767e-05
2894,3.29991,1.49213e-05
2895,3.29996,1.56998e-05
2896,3.30006,1.62189e-05
2897,3.29992,2.6599e-05
2898,3.30006,2.88047e-05
2899,3.29996,2.49122e-05
