second,Volt1,Volt2,Volt3,Volt4
-6.060000E+00,+2.567958E+00,+25.105E-03,-8.368E-03,+26.184E-03
-6.058000E+00,+2.569038E+00,+33.742E-03,-269E-06,+33.742E-03
-6.056000E+00,+2.585233E+00,+25.645E-03,+7.828E-03,+41.841E-03
-6.054000E+00,+2.578756E+00,+34.823E-03,+1.351E-03,+25.105E-03
-6.052000E+00,+2.569038E+00,+41.841E-03,-20.783E-03,+25.105E-03
-6.050000E+00,+2.580377E+00,+31.046E-03,-2.971E-03,+30.502E-03
-6.048000E+00,+2.569038E+00,+28.885E-03,+8.368E-03,+25.105E-03
-6.046000E+00,+2.578219E+00,+41.841E-03,+8.368E-03,+25.105E-03
-6.044000E+00,+2.569038E+00,+41.841E-03,+2.967E-03,+30.505E-03
-6.042000E+00,+2.569038E+00,+41.841E-03,-6.211E-03,+25.105E-03
-6.040000E+00,+2.569038E+00,+25.105E-03,+15.389E-03,+34.820E-03
-6.038000E+00,+2.569575E+00,+25.642E-03,-7.831E-03,+25.105E-03
-6.036000E+00,+2.577133E+00,+33.746E-03,+8.914E-03,+25.105E-03
-6.034000E+00,+2.553384E+00,+41.841E-03,-8.368E-03,+40.758E-03
-6.032000E+00,+2.569038E+00,+38.055E-03,+8.368E-03,+31.580E-03
-6.030000E+00,+2.569038E+00,+41.841E-03,+5.665E-03,+25.105E-03
-6.028000E+00,+2.573893E+00,+34.815E-03,-8.368E-03,+36.986E-03
-6.026000E+00,+2.569038E+00,+37.518E-03,+8.368E-03,+25.105E-03
-6.024000E+00,+2.572273E+00,+38.606E-03,-5.133E-03,+28.340E-03
-6.022000E+00,+2.579831E+00,+25.105E-03,+2.425E-03,+25.105E-03
-6.020000E+00,+2.584159E+00,+41.841E-03,-6.753E-03,+25.105E-03
-6.018000E+00,+2.569038E+00,+41.841E-03,-805E-06,+25.105E-03
-6.016000E+00,+2.585774E+00,+25.100E-03,+8.368E-03,+25.110E-03
-6.014000E+00,+2.569038E+00,+32.658E-03,-815E-06,+25.105E-03
-6.012000E+00,+2.584149E+00,+25.105E-03,+9.993E-03,+26.730E-03
-6.010000E+00,+2.563105E+00,+35.908E-03,+19.172E-03,+25.105E-03
-6.008000E+00,+2.569038E+00,+38.596E-03,+5.123E-03,+28.350E-03
-6.006000E+00,+2.569038E+00,+37.528E-03,+4.055E-03,+25.105E-03
-6.004000E+00,+2.573903E+00,+41.841E-03,-8.368E-03,+29.970E-03
-6.002000E+00,+2.571731E+00,+25.105E-03,+8.368E-03,+27.798E-03
-6.000000E+00,+2.569038E+00,+21.339E-03,-4.602E-03,+25.105E-03
-5.998000E+00,+2.569038E+00,+26.177E-03,-8.368E-03,+57.505E-03
-5.996000E+00,+2.569038E+00,+25.105E-03,-263E-06,+33.210E-03
-5.994000E+00,+2.569038E+00,+58.030E-03,+8.368E-03,+25.105E-03
-5.992000E+00,+2.559312E+00,+27.819E-03,+8.368E-03,+25.105E-03
-5.990000E+00,+2.569038E+00,+37.506E-03,+8.368E-03,+25.105E-03
-5.988000E+00,+2.569038E+00,+30.495E-03,+2.977E-03,+25.105E-03
-5.986000E+00,+2.559876E+00,+28.892E-03,+8.368E-03,+25.105E-03
-5.984000E+00,+2.569038E+00,+25.105E-03,+8.368E-03,+21.334E-03
-5.982000E+00,+2.585774E+00,+30.512E-03,+2.961E-03,+36.434E-03
-5.980000E+00,+2.569038E+00,+27.255E-03,-6.218E-03,+41.841E-03
-5.978000E+00,+2.569038E+00,+34.813E-03,+8.368E-03,+34.813E-03
-5.976000E+00,+2.553893E+00,+41.311E-03,-7.838E-03,+25.105E-03
-5.974000E+00,+2.569038E+00,+33.752E-03,+16.457E-03,+50.489E-03
-5.972000E+00,+2.569038E+00,+25.105E-03,+8.368E-03,+26.194E-03
-5.970000E+00,+2.579305E+00,+31.573E-03,+1.900E-03,+25.105E-03
-5.968000E+00,+2.571747E+00,+25.105E-03,-2.949E-03,+39.131E-03
-5.966000E+00,+2.564189E+00,+29.953E-03,-8.368E-03,+25.105E-03
-5.964000E+00,+2.569038E+00,+37.511E-03,-12.698E-03,+41.841E-03
-5.962000E+00,+2.582546E+00,+28.333E-03,+5.140E-03,+25.105E-03
-5.960000E+00,+2.569038E+00,+25.105E-03,-8.368E-03,+25.105E-03
-5.958000E+00,+2.569038E+00,+26.713E-03,+21.888E-03,+41.841E-03
-5.956000E+00,+2.585774E+00,+41.841E-03,+8.368E-03,+34.271E-03
-5.954000E+00,+2.569038E+00,+41.829E-03,+8.357E-03,+25.105E-03
-5.952000E+00,+2.570681E+00,+32.651E-03,-822E-06,+25.105E-03
-5.950000E+00,+2.569038E+00,+26.736E-03,+6.736E-03,+25.105E-03
-5.948000E+00,+2.579848E+00,+25.105E-03,+25.105E-03,+25.105E-03
-5.946000E+00,+2.569038E+00,+28.357E-03,+8.368E-03,+41.841E-03
-5.944000E+00,+2.581468E+00,+25.105E-03,+8.368E-03,+37.535E-03
-5.942000E+00,+2.569038E+00,+25.105E-03,+8.368E-03,+41.841E-03
-5.940000E+00,+2.569038E+00,+27.791E-03,+8.368E-03,+39.155E-03
-5.938000E+00,+2.585774E+00,+31.597E-03,-1.876E-03,+25.105E-03
-5.936000E+00,+2.570104E+00,+40.775E-03,+8.368E-03,+56.445E-03
-5.934000E+00,+2.560413E+00,+33.217E-03,-256E-06,+25.105E-03
