second,Volt1,Volt2,Volt3,Volt4
-5.920000E+00,+3.208039E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.918000E+00,+3.212469E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.916000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.914000E+00,+3.205879E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.912000E+00,+3.205774E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.910000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.908000E+00,+3.211176E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.906000E+00,+3.208578E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.904000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.902000E+00,+3.206641E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.900000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.898000E+00,+3.211277E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.896000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.894000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.892000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.890000E+00,+3.207282E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.888000E+00,+3.206102E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.886000E+00,+3.206958E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.884000E+00,+3.211817E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.882000E+00,+3.206634E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.880000E+00,+3.208146E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.878000E+00,+3.208586E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.876000E+00,+3.210421E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.874000E+00,+3.209333E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.872000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.870000E+00,+3.205886E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
