s,v,i
3766,0.562659,1.02503e-05
3767,2.99611,2.41337e-05
3768,3.29975,1.55693e-06
3769,3.29995,2.94535e-05
3770,3.29993,1.18073e-05
3771,3.30002,2.59502e-05
3772,3.29992,1.77759e-05
3773,3.29987,1.63486e-05
3774,3.29988,2.03709e-05
3775,3.29997,2.20569e-06
3776,3.29991,2.34849e-05
3777,3.2999,1.29742e-06
3778,3.29987,1.20668e-05
3779,3.29995,2.59426e-07
3780,3.29994,4.41148e-06
3781,3.30002,3.47733e-05
3782,3.29992,1.37536e-05
3783,3.29987,1.64784e-05
3784,3.29987,1.85544e-05
3785,3.29998,1.07693e-05
3786,3.30001,2.20577e-05
3787,3.29988,2.32254e-05
3788,3.29996,-6.48856e-07
3789,3.29997,3.20485e-05
3790,3.2998,7.78503e-06
3791,3.29991,1.11586e-05
3792,3.29998,3.10105e-05
3793,3.29982,1.92031e-05
3794,3.30001,1.15478e-05
3795,3.29994,2.42634e-05
3796,3.29994,2.28362e-05
3797,3.29992,9.73126e-06
3798,3.2999,1.76461e-05
3799,3.29978,1.37536e-05
3800,3.29988,1.71271e-05
3801,3.29998,9.47176e-06
3802,3.29989,2.23172e-05
3803,3.29992,1.46618e-05
3804,3.30005,2.62097e-05
3805,3.30003,2.53014e-05
3806,3.29994,3.29568e-05
3807,3.29988,1.10288e-05
3808,3.29998,1.58296e-05
3809,3.30004,-5.96865e-06
3810,3.29994,5.18997e-06
3811,3.29996,2.95832e-05
3812,3.29994,-4.28189e-06
3813,3.29994,-2.07611e-06
3814,3.29991,3.89246e-06
3815,3.29994,1.08991e-05
3816,3.29988,7.13625e-06
3817,3.29995,-1.08992e-05
3818,3.29985,1.56999e-05
3819,3.30001,3.127e-05
3820,3.29999,7.65527e-06
3821,3.29997,2.2966e-05
3822,3.29995,1.49213e-05
3823,3.29999,2.06304e-05
3824,3.29996,-3.8934e-07
3825,3.30009,1.56998e-05
3826,3.29993,-3.37362e-06
3827,3.29994,-2.59592e-07
3828,3.29993,9.60152e-06
3829,3.29992,1.44023e-05
3830,3.29997,3.08808e-05
3831,3.30002,6.61725e-06
3832,3.29994,3.37346e-06
3833,3.29994,1.81646e-06
3834,3.29993,-1.81662e-06
3835,3.29998,8.30401e-06
3836,3.29988,3.11396e-06
3837,3.29992,2.24469e-05
3838,3.29995,3.80171e-05
3839,3.29995,1.67379e-05
3840,3.2999,1.73866e-05
3841,3.29993,1.81651e-05
3842,3.29998,8.82302e-06
3843,3.29992,1.50511e-05
3844,3.29987,1.38833e-05
3845,3.29993,3.39948e-05
3846,3.29996,-4.67115e-06
3847,3.30011,-5.96866e-06
3848,3.30007,2.99725e-05
3849,3.29997,4.65807e-05
3850,3.29996,1.53106e-05
3851,3.29998,8.56351e-06
3852,3.29996,2.14089e-05
3853,3.29992,1.05098e-05
3854,3.2999,1.41428e-05
3855,3.30006,1.27156e-05
3856,3.29997,1.06395e-05
3857,3.29998,-2.98437e-06
3858,3.29983,1.54404e-05
3859,3.2999,-6.48764e-06
3860,3.3,1.86841e-05
3861,3.29982,2.27064e-05
3862,3.29989,5.96848e-06
3863,3.29997,2.03709e-05
3864,3.30002,6.09823e-06
3865,3.29993,1.84246e-05
3866,3.29988,1.84246e-05
3867,3.29996,1.07693e-05
3868,3.30003,1.95924e-05
3869,3.30001,2.50419e-05
3870,3.2999,7.78419e-07
3871,3.29989,2.06304e-05
3872,3.30001,1.038e-05
3873,3.29999,1.37536e-05
3874,3.30003,7.39575e-06
3875,3.30001,8.82303e-06
3876,3.29992,1.73866e-05
3877,3.29994,1.05098e-05
3878,3.2999,2.10197e-05
3879,3.29991,2.98421e-06
3880,3.29988,3.0751e-05
3881,3.29988,1.64784e-05
3882,3.29988,2.64692e-05
3883,3.29992,-5.44965e-06
3884,3.2999,2.33544e-06
3885,3.30003,1.1937e-05
3886,3.2999,2.88048e-05
3887,3.29992,2.34849e-05
3888,3.30001,2.6599e-05
3889,3.2999,6.48748e-06
3890,3.29998,1.25858e-05
3891,3.29993,1.69974e-05
3892,3.29996,1.94627e-05
3893,3.30007,2.608e-05
3894,3.29999,3.23081e-05
3895,3.29999,2.01114e-05
3896,3.3,9.34202e-06
3897,3.30005,2.05006e-05
3898,3.29994,2.02412e-05
3899,3.29994,1.33643e-05
3900,3.29992,2.25767e-05
3901,3.29986,2.8675e-05
3902,3.2999,7.26599e-06
3903,3.29996,7.65527e-06
3904,3.29997,2.62097e-05
3905,3.30004,2.32254e-05
3906,3.29988,2.42634e-05
3907,3.29991,1.73866e-05
3908,3.29996,2.38742e-05
3909,3.29998,2.53015e-05
3910,3.29985,1.59593e-05
3911,3.29995,2.07602e-05
3912,3.29991,1.32346e-05
3913,3.29998,1.53106e-05
3914,3.29987,1.88139e-05
3915,3.29988,1.94626e-05
3916,3.29999,2.30957e-05
3917,3.29989,2.02412e-05
3918,3.29987,4.9305e-06
3919,3.30001,1.97221e-05
3920,3.29981,1.56999e-05
3921,3.29997,2.6599e-05
3922,3.29986,1.63486e-05
3923,3.2999,1.88139e-05
3924,3.30003,2.51717e-05
3925,3.3,3.65898e-05
3926,3.29998,2.53015e-05
3927,3.3,2.58205e-05
3928,3.29989,1.66081e-05
3929,3.29996,2.28362e-05
3930,3.3,1.69974e-05
3931,3.29996,1.46618e-05
3932,3.30001,2.77667e-05
3933,3.29998,2.68585e-05
3934,3.30004,1.77759e-05
3935,3.3,1.82949e-05
3936,3.29993,1.72569e-05
3937,3.29998,2.23172e-05
3938,3.2999,1.81651e-05
3939,3.29984,2.08899e-05
3940,3.29995,1.07693e-05
3941,3.29989,1.19371e-05
3942,3.30001,1.92031e-05
3943,3.30004,1.59594e-05
3944,3.3,2.63395e-05
3945,3.29992,-3.24387e-06
3946,3.29999,1.71271e-05
3947,3.30003,-1.8166e-06
3948,3.30001,1.42726e-05
3949,3.29993,1.59593e-05
3950,3.29993,1.14181e-05
3951,3.29988,4.02219e-06
3952,3.30006,1.16776e-05
3953,3.3,2.58204e-05
3954,3.29997,1.75164e-05
3955,3.29987,2.21874e-05
3956,3.29993,-8.04468e-06
3957,3.29989,1.33643e-05
3958,3.29991,1.55701e-05
3959,3.30006,2.56907e-05
3960,3.29999,1.51809e-05
